review_id,review_title,product_id
R3HXWT0LRP0NMF,Satisfied,B07JW9H4J1
R2AJM3LFTLZHFO,Charging is really fast,B07JW9H4J1
R6AQJGUP6P86,Value for money,B07JW9H4J1
R1KD19VHEDV0OR,Product review,B07JW9H4J1
R3C02RMYQMK6FC,Good quality,B07JW9H4J1
R39GQRVBUZBWGY,Good product,B07JW9H4J1
R2K9EDOE15QIRJ,Good Product,B07JW9H4J1
R3OI7YT648TL8I,As of now seems good,B07JW9H4J1
RGIQEG07R9HS2,A Good Braided Cable for Your Type C Device,B098NS6PVG
R1SMWZQ86XIN8U,Good quality product from ambrane,B098NS6PVG
R2J3Y1WL29GWDE,Super cable,B098NS6PVG
RYGGS0M09S3KY,As,B098NS6PVG
R17KQRUTAN5DKS,Good quality,B098NS6PVG
R3AAQGS6HP2QUK,Good product,B098NS6PVG
R1HDNOG6TO2CCA,its good,B098NS6PVG
R3PHKXYA5AFEOU,Good quality for the price but one issue with my unit,B098NS6PVG
R3J3EQQ9TZI5ZJ,Good speed for earlier versions,B096MSW6CT
R3E7WBGK7ID0KV,Good Product,B096MSW6CT
RWU79XKQ6I1QF,Working good,B096MSW6CT
R25X4TBMPY91LX,Good for the price,B096MSW6CT
R27OK7G99VK0TR,Good,B096MSW6CT
R207CYDCHJJTCJ,Worth for money,B096MSW6CT
R3PCU8XMU173BT,Working nice,B096MSW6CT
R1IMONDOWRNU5V,it's a really nice product,B096MSW6CT
R3EEUZKKK9J36I,Good product,B08HDJ86NZ
R3HJVYCLYOY554,Good one,B08HDJ86NZ
REDECAZ7AMPQC,Nice,B08HDJ86NZ
R1CLH2ULIVG5U3,Really nice product,B08HDJ86NZ
R2DMKIBGFKBD6R,Very first time change,B08HDJ86NZ
RC89B5IAJUTR5,Good,B08HDJ86NZ
R3B3DDON5FH8DS,Fine product but could be better,B08HDJ86NZ
R13WAEJDI5RS36,Very nice it's charging like jet,B08HDJ86NZ
R1BP4L2HH9TFUP,As good as original,B08CF3B7N1
R16PVJEXKV6QZS,Decent,B08CF3B7N1
R2UPDB81N66T4P,Good one for secondary use,B08CF3B7N1
R3KK4GT934ST3I,Best quality,B08CF3B7N1
RCFHMWUSBIJO,GOOD,B08CF3B7N1
RDO7DACXMAJ84,Amazing product at a mind blowing price!,B08CF3B7N1
R3A6MEZL3LY66Z,Nice Quality,B08CF3B7N1
R1ESIEKPGAYA29,Good product,B08CF3B7N1
R7S8ANNSDPR40,It's pretty good,B08Y1TFSP6
R3CLZFLHVJU26P,Average quality,B08Y1TFSP6
RFF7U7MPQFUGR,very good and useful usb cable,B08Y1TFSP6
R1MV1NKC23DWPI,Good USB cable. My experience was very good it is long lasting,B08Y1TFSP6
R11D3U0V2XKDKF,Good,B08Y1TFSP6
R18MP1KLUE18PC,Nice product and useful,B08Y1TFSP6
RWGJNVEH5ZQME,-,B08Y1TFSP6
R1XN72FU6Q37IH,Sturdy but does not support 33w charging,B08Y1TFSP6
R8E73K2KWJRDS,Long durable.,B08WRWPM22
RSD0JTIIWQQL8,good,B08WRWPM22
R64CRSTE9SLW1,Does not charge Lenovo m8 tab,B08WRWPM22
R2FRTNIIUFJE1F,Best charging cable,B08WRWPM22
RWGNX3W7UOJ7W,good,B08WRWPM22
R32TYHHODHTF5D,Boat,B08WRWPM22
RQL9ZMQUTY7P2,Product was good,B08WRWPM22
R280XJ5VZUBOXV,1.5 m ?? ???? ???? ??? ???? ?? ??????? ?? ?,B08WRWPM22
R2X090D1YHACKR,Worth for money - suitable for Android auto,B08DDRGWTJ
R32ZCIH9AFNJ60,Good Product,B08DDRGWTJ
R3N57EVVG0EHAF,Length,B08DDRGWTJ
R3QWLE8JHROKC1,Nice,B08DDRGWTJ
R2VTSDOOUTSQ5X,Original,B08DDRGWTJ
R3E6FZ75Q074KH,Very good quay Cable support fast charging.,B08DDRGWTJ
R1SYBQLTPFCW20,Original MI cable for charging upto 33 watt,B08DDRGWTJ
RYQT96J8HPIXE,I am veri happy with this product as it provide turbo charging.,B08DDRGWTJ
R1LW6NWSVTVZ2H,Works on linux for me. Get the model with antenna.,B008IFXQFU
R3VR5WFKUS15C5,Does what it say but other brands available at lesser price,B008IFXQFU
R2F6GC79OYWUKQ,Easy Handle,B008IFXQFU
R3QZ19MECGWG9A,Great product,B008IFXQFU
R2MPU42MYK7GPO,Perfect working,B008IFXQFU
R33DVXFB4VYPZZ,Speed is perfect,B008IFXQFU
R1SQ7OGFR4JRUR,Great Design,B008IFXQFU
R1S5F9QI0M1VBZ, Build,B008IFXQFU
RGIQEG07R9HS2, Connectivity Range,B082LZGK39
R1SMWZQ86XIN8U, Packaging and other features but no linux support since v2,B082LZGK39
R2J3Y1WL29GWDE,Very good,B082LZGK39
RYGGS0M09S3KY,A Good Braided Cable for Your Type C Device,B082LZGK39
R17KQRUTAN5DKS,Good quality product from ambrane,B082LZGK39
R3AAQGS6HP2QUK,Super cable,B082LZGK39
R1HDNOG6TO2CCA,As,B082LZGK39
R3PHKXYA5AFEOU,Good quality,B082LZGK39
R11MQS7WD9C3I0,Good product,B08CF3D7QR
R2AKH69XQY8BY4,its good,B08CF3D7QR
R8GBOLYUN5UP6,Good quality for the price but one issue with my unit,B08CF3D7QR
R1AYVO4R25KJTA,Good for fast charge but not for data transfer,B08CF3D7QR
R1HT6XM787V7FV,Good cable compares to local the brand.,B08CF3D7QR
R339XJL1GMKHA3,good but doesnt last,B08CF3D7QR
R175VFSB2A32HG,Good product,B08CF3D7QR
R35T9LXYBSP09G,Good Product,B08CF3D7QR
R3EEUZKKK9J36I,Good and worth it,B0789LZTCJ
R3HJVYCLYOY554,very good material quality charging speed is 15 watt,B0789LZTCJ
REDECAZ7AMPQC,Not a fast charger,B0789LZTCJ
R1CLH2ULIVG5U3,Good product,B0789LZTCJ
R2DMKIBGFKBD6R,Good one,B0789LZTCJ
RC89B5IAJUTR5,Nice,B0789LZTCJ
R3B3DDON5FH8DS,Really nice product,B0789LZTCJ
R13WAEJDI5RS36,Very first time change,B0789LZTCJ
R1FKOKZ3HHKJBZ,Good,B07KSMBL2H
R2WNMZI1EXTA0H,Fine product but could be better,B07KSMBL2H
RCA1M3W4RIXUR,Very nice it's charging like jet,B07KSMBL2H
R3BKCLL6D7ZLIX,It's quite good and value for money,B07KSMBL2H
REVSR0ILY3547,Works well,B07KSMBL2H
R15W5KMQB95IV5,Hdmi cable,B07KSMBL2H
R10PB68FRUHT5V,Value for money,B07KSMBL2H
R3TLCE9JSBU3UP,All good,B07KSMBL2H
R1QETDIPRCX4S0,Gets the job done,B085DTN6R2
RARQYQ8POOFA9,Delivery was good,B085DTN6R2
R952F931MCOR5,This one was my need to purchase,B085DTN6R2
R3LLDHV3WXED9C,Works,B085DTN6R2
R282YHZ5A4GMY4,Nice Product,B085DTN6R2
R34W3B1C7RP98Q,Fast Charging as original,B085DTN6R2
R1467F9VL3DLSY,Good for data transfer,B085DTN6R2
R3KLQRR1UM44JG,Average. Cost effective,B085DTN6R2
